smiles,mol_weight
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,457.1584107
Cc1occc1C(=O)Nc2ccccc2,201.0789786
CC(C)=CCCC(C)=CC(=O),152.1201151
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,278.1095504
c1ccsc1,84.00337113
c2ccc1scnc1c2,135.0142702
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,323.8833886
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,272.17763
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,377.870631
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,394.1416384
O=C1CCCN1,85.05276384
Clc1ccc2ccccc2c1,162.0236279
CCCC=C,70.07825032
CCC1(C(=O)NCNC1=O)c2ccccc2,218.1055277
CCCCCCCCCCCCCC,198.234751
CC(C)Cl,78.0236279
CCC(C)CO,88.088815
N#Cc1ccccc1,103.0421992
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,304.1010502
CCCCCCCCCC(C)O,172.1827154
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl,323.8833886
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,234.1368278
CCOP(=S)(OCC)SCSCC,260.0128294
CCOc1ccc(NC(=O)C)cc1,179.0946287
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,322.0888896
CCCCCCCO,116.1201151
Cn1c(=O)n(C)c2nc[nH]c2c1=O,180.0647255
CCCCC1(CC)C(=O)NC(=O)NC1=O,212.1160924
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,315.938011
CCCCCCCC(=O)OC,158.1306798
CCc1ccc(CC)cc1,134.1095504
CCOP(=S)(OCC)SCSC(C)(C)C,288.0441295
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,300.111007
ClC(=C)Cl,95.95335542
Cc1cccc2c1Cc3ccccc32,180.0939004
CCCCC=O,86.07316494
N(c1ccccc1)c2ccccc2,169.0891494
CN(C)C(=O)SCCCCOc1ccccc1,253.1136498
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,353.1248224
CCCCCCCI,226.0218485
c1c(Cl)cccc1c2ccccc2,188.039278
OCCCC=C,86.07316494
O=C2NC(=O)C1(CCC1)C(=O)N2,168.0534921
CC(C)C1CCC(C)CC1O,156.1514153
CC(C)OC=O,88.0524295
CCCCCC(C)O,116.1201151
CC(=O)Nc1ccc(Br)cc1,212.978926
c1ccccc1n2ncc(N)c(Br)c2(=O),264.985074
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,346.1164863
c2c(C)cc1nc(C)ccc1c2,157.0891494
CCCCCCC#C,110.1095504
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,236.1160924
c1ccc2c(c1)ccc3c4ccccc4ccc23,228.0939004
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,260.0160398
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,357.8444162
Cc1ccccc1O,108.0575149
CC(C)CCC(C)(C)C,128.1565006
Cc1ccc(C)c2ccccc12,156.0939004
Cc1cc2c3ccccc3ccc2c4ccccc14,242.1095504
CCCC(=O)C,86.07316494
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,425.7664715
CCCOC(=O)CC,116.0837296
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,394.1791668
Nc1ccc(O)cc1,109.0527638
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,260.0909402
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,366.1022721
CCNc1nc(Cl)nc(n1)N(CC)CC,229.1094232
NC(=O)c1cnccn1,123.0432618
CCC(Br)(CC)C(=O)NC(N)=O,236.0160398
Clc1ccccc1c2ccccc2Cl,222.0003056
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,238.0338193
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,282.9802984
CC1(C)C2CCC1(C)C(=O)C2,152.1201151
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,244.0847922
CCCCC(=O)OCC,130.0993797
CC(C)CCOC(=O)C,130.0993797
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,380.1736072
Clc1cccc(c1)c2cc(Cl)ccc2Cl,255.9613333
CCCBr,121.9731123
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,341.0697821
COP(=S)(OC)SCC(=O)N(C)C=O,256.9945365
Cc1ncnc2nccnc12,146.0592462
NC(=S)N,76.00951913
Cc1ccc(C)cc1,106.0782503
CCc1ccccc1CC,134.1095504
ClC(Cl)(Cl)C(Cl)(Cl)Cl,233.8131161
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,451.1595147
CCCN(=O)=O,89.04767846
CC(C)C1CCC(C)CC1=O,154.1357652
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23,273.0668897
O=N(=O)c1c(Cl)c(Cl)ccc1,190.9540837
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,254.1088988
c1ccc2c(c1)c3cccc4cccc2c34,202.0782503
CCCOC(C)C,102.1044651
Cc1cc(C)c2ccccc2c1,156.0939004
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2,268.1463299
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,263.8815587
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,289.9223609
C1OC1c2ccccc2,120.0575149
CC(C)c1ccccc1,120.0939004
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,330.2194948
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),265.8972088
C1OC(O)C(O)C(O)C1O,150.0528234
ClCCl,83.95335542
CCc1cccc2ccccc12,156.0939004
COC=O,60.02112937
Oc1ccccc1N(=O)=O,139.026943
Cc1c[nH]c(=O)[nH]c1=O,126.0429274
CC(C)C,58.07825032
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,268.0807695
Oc1c(I)cc(C#N)cc1I,370.8304097
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,325.9861121
CCCCC,72.09390038
c1ccccc1O,94.04186481
Nc3ccc2cc1ccccc1cc2c3,193.0891494
Cn1cnc2n(C)c(=O)[nH]c(=O)c12,180.0647255
c1ccc2cnccc2c1,129.0578492
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,367.0232498
CCCCCCc1ccccc1,162.1408506
Clc1ccccc1c2ccccc2,188.039278
CCCC(=C)C,84.09390038
CC(C)C(C)C(C)C,114.1408506
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,247.8520884
Oc1cccc(c1)N(=O)=O,139.026943
CCCCCCCCC=C,140.1565006
CC(=O)OCC(COC(=O)C)OC(=O)C,218.0790382
CCCCc1c(C)nc(nc1O)N(C)C,209.1528122
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,433.064777
c1ccncc1,79.04219916
CCCCCCCBr,178.0357126
Cc1ccncc1C,107.0734993
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,380.1999022
CCSCc1ccccc1OC(=O)NC,225.0823497
CCOC(=O)CC(=O)OCC,160.0735589
CC1=CCC(CC1)C(C)=C,136.1252005
C1Cc2ccccc2C1,118.0782503
CC(C)(C)c1ccc(O)cc1,150.1044651
O=C2NC(=O)C1(CC1)C(=O)N2,154.0378421
Clc1cccc(I)c1,237.9046258
Brc1cccc2ccccc12,205.9731123
CC/C=C/C,70.07825032
Cc1cccc(C)n1,107.0734993
ClC=C(Cl)Cl,129.9143831
Nc1cccc2ccccc12,143.0734993
Cc1cccc(C)c1,106.0782503
Oc2ncc1nccnc1n2,148.0385107
CO,32.02621475
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.1317424
CCC(=O)C,72.05751488
Fc1c[nH]c(=O)[nH]c1=O,130.0178556
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,266.1015049
Oc1cccc(O)c1,110.0367794
CCCCCCO,102.1044651
CCCCCCl,106.054928
C=CC=C,54.04695019
CCCOC(=O)C,102.0680796
Oc2ccc1CCCCc1c2,148.088815
NC(=O)CCl,92.99814143
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,411.8353551
Cc1ccc(Cl)cc1,126.0236279
CSc1nnc(c(=O)n1N)C(C)(C)C,214.0888321
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,368.1177458
CCCCCC=O,100.088815
CCCCOC(=O)c1ccc(N)cc1,193.1102787
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,255.1007767
CC(C)=CCC/C(C)=C\CO,154.1357652
Clc1ccc(cc1)c2ccccc2Cl,222.0003056
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,408.2049074
CCN(=O)=O,75.0320284
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,333.0936406
Clc1ccc(Cl)c(Cl)c1Cl,213.8910608
CCCC(C)(COC(N)=O)COC(N)=O,218.1266571
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C,316.2402303
CI,141.9279481
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,281.1627082
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,394.1892573
CC1=CC(=O)CC(C)(C)C1,138.1044651
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,212.1160924
CCCCC(=O)CCCC,142.1357652
CCC1(CCC(=O)NC1=O)c2ccccc2,217.1102787
CCC(C)CC,86.10955045
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,376.2038448
Cc1ccccc1n3c(C)nc2ccccc2c3=O,250.1106131
ClCC#N,74.98757674
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,331.9361203
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C,312.2089301
c1ccnnc1,80.03744813
Clc1cc(Cl)c(Cl)c(Cl)c1,213.8910608
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,414.3133952
Nc1ccccc1O,109.0527638
CCCCCCCCC(=O)OCC,186.1619799
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,279.1470582
CNC(=O)Oc1ccccc1OC(C)C,209.1051933
CCC(C)Cl,92.03927797
Oc1ccc2ccccc2c1,144.0575149
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,344.0694478
CCCCC#C,82.07825032
CCCCCCCC#C,124.1252005
Cc1ccccc1Cl,126.0236279
CC(C)OC(C)C,102.1044651
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,248.0619486
CNN,46.05309819
CC#C,40.03130013
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,298.0541
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,281.0850658
C=CC=O,56.02621475
O=c1[nH]cnc2nc[nH]c12,136.0385107
Oc2ccc1ncccc1c2,145.0527638
Fc1ccccc1,96.03752838
CCCCl,78.0236279
CCOC(=O)C,88.0524295
CCCC(C)(C)C,100.1252005
Cc1cc(C)c(C)c(C)c1C,148.1252005
CC12CCC(CC1)C(C)(C)O2,154.1357652
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,314.2457096
Clc1ccc(cc1)c2ccc(Cl)cc2,222.0003056
Cc1cccnc1C,107.0734993
CC(=C)C1CC=C(C)C(=O)C1,150.1044651
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,341.9738571
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,588.1842911
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,252.0939004
Cc1ccc(cc1N(=O)=O)N(=O)=O,182.0327567
c1c(Br)ccc2ccccc12,205.9731123
CNC(=O)Oc1cccc(N=CN(C)C)c1,221.1164267
COc2cnc1ncncc1n2,162.0541608
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34,266.1167611
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,313.0416767
CC(=C)C=C,68.06260026
CC(C)=CCCC(O)(C)C=C,154.1357652
COP(=S)(OC)Oc1ccc(SC)c(C)c1,278.020023
OC1CCCCC1,100.088815
O=C1NC(=O)NC(=O)C1(C)CC=C,182.0691422
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,290.2245802
OCC(O)C(O)C(O)C(O)CO,182.0790382
Cc1ccc(cc1)c2ccccc2,168.0939004
CCNc1nc(Cl)nc(NC(C)C)n1,215.0937731
NC(=S)Nc1ccccc1,152.0408193
CCCC(=O)CCC,114.1044651
CC(=O)C(C)(C)C,100.088815
Oc1ccc(Cl)cc1,128.0028925
O=C1CCCCC1,98.07316494
Cc1cccc(N)c1,107.0734993
ClC(Cl)(Cl)C#N,142.909632
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,303.0386242
CCCCCCCCC(=O)C,156.1514153
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,243.1250733
CCOC(=O)c1ccc(N)cc1,165.0789786
Clc1ccc(Cl)c(Cl)c1,179.9300331
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,342.0439017
Oc1ccccc1O,110.0367794
CCN2c1ncccc1N(C)C(=O)c3cccnc23,254.1167611
CSC,62.01902119
Cc1ccccc1Br,169.9731123
CCOC(=O)N,89.04767846
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,384.2300595
CC(C)C(O)C(C)C,116.1201151
c1ccc2ccccc2c1,128.0626003
CCNc1ccccc1,121.0891494
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,252.0898776
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,256.1252005
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,393.0025143
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,344.0137628
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F,379.9742457
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,366.1579572
CN(C)C(=O)Nc1ccc(Cl)cc1,198.0559907
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,301.1026685
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,478.2002962
CCCCBr,135.9887624
Brc1cc(Br)c(Br)cc1Br,389.6889985
CC(C)CC(=O)C,100.088815
CCSC(=O)N(CC)C1CCCCC1,215.1343853
COc1ccc(Cl)cc1,142.0185425
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,502.9731677
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,224.1160924
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,277.0173801
Ic1cccc2ccccc12,253.9592482
OCC(O)C(O)C(O)C(O)CO,182.0790382
CCS,62.01902119
ClCC(Cl)Cl,131.9300331
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,245.1164267
NC(=O)c1ccccc1O,137.0476785
Cc1ccccc1N(=O)=O,137.0476785
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,212.1160924
CCc1ccccc1C,120.0939004
CCCCCCCCl,134.0862282
O=C1NC(=O)NC(=O)C1(CC)CC,184.0847922
C(Cc1ccccc1)c2ccccc2,182.1095504
ClC(Cl)C(Cl)Cl,165.8910608
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,283.1320768
Cc1ccc2c(ccc3ccccc32)c1,192.0939004
CCCCOC(=O)c1ccccc1C(=O)OCCCC,278.1518092
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,259.8965401
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,299.068937
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,268.1463299
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,414.0400829
COc1ccc(cc1)N(=O)=O,153.0425931
CCCCCCCl,120.0705781
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,425.7664715
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,504.1690349
CCCCCCCCCCCCCCCCCCCCCCCCCC,366.4225517
CCN2c1ccccc1N(C)C(=O)c3cccnc23,253.1215121
CC(Cl)Cl,97.96900549
Nc1ccc(cc1)S(N)(=O)=O,172.0306485
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,309.1688562
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,287.8600663
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,345.1163659
Clc1cccc(Cl)c1Cl,179.9300331
ClC(Cl)(Cl)Cl,151.8754107
O=N(=O)c1cc(Cl)c(Cl)cc1,190.9540837
OC1CCCCCCC1,128.1201151
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,302.2245802
CCOc1ccc(NC(N)=O)cc1,180.0898776
C/C1CCC(\C)CC1,112.1252005
c1cnc2c(c1)ccc3ncccc23,180.0687483
COC(C)(C)C,88.088815
COc1ccc(C=CC)cc1,148.088815
CCCCCCCCCCCCCCCCO,242.2609657
O=c1cc[nH]c(=O)[nH]1,112.0272774
Nc1ncnc2nc[nH]c12,135.0544952
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,323.8833886
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,256.1211778
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,252.0939004
O=C(Nc1ccccc1)Nc2ccccc2,212.094963
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,232.0847922
Clc1ccc(cc1)c2cccc(Cl)c2Cl,255.9613333
CC(C)c1ccc(NC(=O)N(C)C)cc1,206.1419132
CCN(CC)C(=O)CSc1ccc(Cl)nn1,259.0546107
CCC(C)(C)CO,102.1044651
CCCOC(=O)CCC,130.0993797
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,227.0178349
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,397.0605079
C1CCCCCC1,98.10955045
CCCOC=O,88.0524295
CC(C)c1ccccc1C,134.1095504
Nc1cccc(Cl)c1,127.0188769
CC(C)CC(C)C,100.1252005
o1c2ccccc2c3ccccc13,168.0575149
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,286.0874947
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,232.0823476
c3ccc2nc1ccccc1cc2c3,179.0734993
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,360.193674
OCC1OC(O)C(O)C(O)C1O,180.0633881
Cc1cccc(O)c1,108.0575149
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,365.0600901
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,404.2562743
O=N(=O)c1ccc(cc1)N(=O)=O,168.0171066
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,262.1317424
CCCCCCCCCC(=O)OCC,200.17763
CN(C)C(=O)Nc1ccccc1,164.094963
CCCOCC,88.088815
CC(C)O,60.05751488
Cc1ccc2ccccc2c1,142.0782503
ClC(Br)Br,205.8133519
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,270.1619799
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,330.036067
ClCc1ccccc1,126.0236279
C/C=C/C=O,70.04186481
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,291.9614173
Cc1c2ccccc2c(C)c3ccccc13,206.1095504
CCCCCC(=O)OC,130.0993797
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,338.1145681
CC(=O)Nc1ccc(F)cc1,153.0589921
CCc1cccc(CC)c1N(COC)C(=O)CCl,269.1182566
C1CCC=CC1,82.07825032
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,362.2093241
c1cncnc1,80.03744813
Clc1ccc(cc1)N(=O)=O,156.993056
CCC(=O)OC,88.0524295
Clc1ccccc1N(=O)=O,156.993056
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,274.0639685
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,256.0993968
O=N(=O)c1ccccc1,123.0320284
Ic1ccccc1,203.9435982
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,365.0600901
COc1ccccc1OCC(O)COC(N)=O,241.0950226
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,311.1652068
Oc1cccc(Cl)c1Cl,161.9639201
CCCC(=O)OC,102.0680796
